"","X17.AAG","GSK.1904529A","Bosutinib","RDEA119","Nutlin.3a","PD.0325901","Epothilone.B"
"115",3.487074,4.33864,3.119091,6.170741,3.156346,2.826964,-3.698017
"116",-1.390686,2.630911,1.164818,3.238706,6.103008,0.583851,-7.074697
"117",4.354234,3.637536,5.593327,6.232993,6.343927,3.369153,-2.323917
"118",4.878999,5.11178,5.555367,6.578781,7.054857,3.438321,-5.601394
"119",0.138601,5.509152,1.154561,0.178592,6.168806,-2.654265,-2.753478
"120",-0.38379,2.943983,2.893571,-4.714145,3.543113,1.287617,-4.545583
"121",1.272398,3.847802,4.873514,2.749325,3.703309,0.03852,-4.622924
"122",-2.302935,3.044175,0.524254,-0.038549,5.576612,-1.710141,-6.382527
"123",2.97543,4.382741,1.720868,0.268338,4.01073,-2.345382,-2.611784
"124",0.030731,4.060679,1.814011,1.611677,5.837617,0.989009,-3.390541
"125",0.399662,4.7798,-1.584894,-1.212197,4.743177,-3.624593,-3.004775
"126",-2.77985,4.043302,1.099395,-1.688578,5.95653,-1.032839,-6.908742
"127",1.119567,5.119278,1.299319,5.896354,5.946597,-0.049697,-8.415101
"128",-0.525536,1.319024,3.878526,5.139893,2.684867,2.875741,-4.198233
"129",1.633988,3.889006,0.624584,4.223853,4.223113,2.342638,-2.837995
"130",1.503315,3.394787,2.584086,6.05022,6.494446,1.85582,-4.488174
"131",2.427566,1.196401,1.818264,5.719085,5.12163,2.80125,-5.137683
"132",-2.319863,3.984892,3.539442,5.222944,4.785384,-1.295803,-6.407568
"133",-0.898076,4.025084,4.195535,2.344395,5.303605,0.673271,-6.491839
"134",-1.83884,3.913113,1.98171,1.445217,6.317021,1.097568,-6.929184
"135",-3.039243,4.919494,4.46982,5.111543,6.183595,1.085847,-3.482469
"136",3.772227,2.030098,3.910189,4.967715,6.39179,1.301819,-6.264068
"137",3.968306,3.953388,1.145104,4.538448,6.556386,2.534454,-2.981514
"138",4.250178,4.018661,4.517342,5.384899,6.551016,3.028887,-7.009998
"139",0.603634,2.218637,0.364456,2.791711,3.835437,0.13555,-6.846224
"140",3.146968,5.184562,2.255547,4.638835,4.717355,2.884144,-5.941303
"141",3.8524,5.347281,2.426689,5.924179,6.400036,2.918667,-2.677604
"142",2.107907,4.32886,1.961255,6.336694,4.720908,2.687343,-1.291981
"143",3.449855,4.120361,3.273932,4.983506,2.581697,3.024816,-6.098932
"144",0.582343,4.425529,0.154571,-1.203383,0.749873,-2.301617,-4.350893
"145",-5.5623,4.486799,-0.110093,-0.264488,5.69547,-3.361394,-3.641772
"146",-1.799392,3.576058,2.992244,1.514297,6.025361,-0.147878,-3.491462
"147",-0.677412,4.483316,2.062763,-2.251955,3.113281,-8.277289,-7.262547
"148",-2.267887,1.135527,4.750188,0.675937,1.2129,-0.058788,-6.496039
"149",-1.997501,2.82396,5.49903,-0.570282,3.575012,-2.704947,-4.303065
"150",-3.371278,4.369028,2.267511,1.738362,6.1062,-0.698009,-6.328547
"151",-0.085086,4.125594,2.784495,0.166555,6.012431,-0.724585,-5.021836
"152",-1.927,4.095765,4.985919,3.296436,5.125358,1.102422,-6.019285
"153",-0.258318,3.99488,1.550306,0.459894,1.828447,-0.788974,-5.101991
"154",-2.703162,4.215222,1.206227,1.334171,6.448536,-0.695706,-2.242549
"155",-0.79496,3.023155,3.067354,4.555871,1.346339,0.975872,-2.616886
"156",-1.958706,3.842156,1.504345,3.910258,2.717773,-1.61041,-5.780464
"157",0.694006,4.017987,-0.990889,4.707609,1.869857,1.633949,-5.545021
"158",-2.823066,3.796457,2.697788,2.357584,4.859543,1.825654,-7.330133
"159",3.093088,5.367361,1.27695,-0.086613,1.854108,-4.508092,-1.48481
"160",-3.476839,3.668881,0.217168,1.209845,-0.411275,0.18927,-6.933116
"161",0.93121,4.339258,3.933816,1.823472,6.639453,-1.0122,-5.769711
"162",0.620982,4.012898,3.562749,3.734459,2.511683,1.560222,-5.526157
"163",-1.7059,4.109267,3.363844,0.368332,6.069723,-0.881854,-2.239645
"164",4.258794,4.924787,4.134344,3.662672,5.458544,1.62853,-3.788316
"165",2.03879,2.046575,2.935054,2.506483,6.060477,4.565561,-1.702738
"166",-1.925761,3.885329,4.712074,4.733424,5.642593,-2.39277,-2.793768
"167",-1.901399,2.900171,2.469935,3.714331,5.488419,-0.153078,-6.585728
"168",-1.399072,3.697707,0.857565,2.83216,4.881488,0.475265,-3.216203
"169",0.851891,4.02121,2.288343,3.426707,3.21424,-0.669274,-4.689922
"170",-2.406822,2.13281,4.103308,3.967682,6.256151,2.166071,-6.657686
"171",-0.684634,4.583178,3.888066,5.00737,4.877515,3.646456,-3.480378
"172",-1.457943,3.74988,5.098115,-2.44355,5.565124,-3.391322,-6.857639
"173",-1.201387,3.630326,5.556732,5.028184,7.050942,3.135812,-5.564136
"174",0.223251,3.934717,5.603652,3.131668,4.908702,-1.808333,-5.340964
"175",-0.745568,3.3657,4.134584,5.340812,6.084556,2.088365,-6.64163
"176",-1.324298,3.949751,0.801929,-0.645818,1.194937,-1.235432,-5.362901
"177",-1.217667,3.900105,1.620863,0.666462,6.647499,-0.246114,-7.24102
"178",-2.218892,4.694607,0.492155,-0.120855,6.41125,-2.643362,-3.76059
"179",-0.482622,4.589788,0.61134,5.307436,6.747588,1.494194,-3.939502
